txn_id,account_id,txn_date,txn_code,amount,channel
TXN00002548,ACCT000493,05/25/2023,INT,347.04,ATM
TXN00003956,ACCT000797,2023-01-07,INT,995.16,WIRE
TXN00016202,ACCT000223,26-May-2023,ATM,3211.33,ATM
TXN00011694,ACCT000300,2024-04-10,WIRE,3815.95,ONLINE
TXN00007940,ACCT000949,20250716,FEE,4401.49,ATM
TXN00006150,ACCT000685,2025-05-08,FEE,1951.98,BRANCH
TXN00010718,ACCT000855,20230214,ACH,1526.99,ACH
TXN00021037,ACCT000200,07/28/2023,DR,736.33,ACH
TXN00006670,ACCT000811,20231210,WIRE,1714.50,ACH
TXN00020702,ACCT000949,20241027,FEE,3528.90,ACH
TXN00019632,ACCT000333,04/04/2023,CR,106.60,BRANCH
TXN00014632,ACCT000885,20240413,ATM,273.04,WIRE
TXN00012773,ACCT000733,20251013,CR,3363.29,BRANCH
TXN00016950,ACCT000684,2024-07-24,FEE,399.81,BRANCH
TXN00006036,ACCT000698,01-Jan-2023,ACH,2163.99,ACH
TXN00011714,ACCT000950,08/02/2023,ATM,3767.58,WIRE
TXN00000582,ACCT000058,2024-08-25,CR,3889.23,WIRE
TXN00022108,ACCT000910,20240704,DR,211.29,ONLINE
TXN00008818,ACCT000493,09/20/2023,CR,3886.88,ACH
TXN00015133,ACCT000679,06/11/2025,ATM,886.03,ACH
TXN00017934,ACCT000039,2024-07-26,CR,845.79,ACH
TXN00005195,ACCT000981,2024-02-04,CR,2605.64,WIRE
TXN00004824,ACCT000918,04-Oct-2024,FEE,2238.62,ACH
TXN00021434,ACCT001019,21-Mar-2023,CR,1172.14,ATM
TXN00014062,ACCT000233,20230306,DR,2370.43,WIRE
TXN00022975,ACCT000300,02/25/2024,FEE,1106.93,ATM
TXN00008315,ACCT000902,2025-11-06,WIRE,3553.84,WIRE
TXN00007882,ACCT000706,2025-06-14,ACH,4494.11,ATM
TXN00003416,ACCT001018,24-May-2024,CR,108.05,BRANCH
TXN00019704,ACCT000933,20250510,WIRE,1814.08,ACH
TXN00021974,ACCT000579,20240325,ATM,2669.41,ACH
TXN00010715,ACCT000867,20240225,CR,3412.56,ATM
TXN00008140,ACCT000005,21-Jun-2023,DR,2305.97,BRANCH
TXN00014091,ACCT000422,2024-08-29,ATM,1013.59,BRANCH
TXN00021551,ACCT000201,11/27/2024,DR,728.96,ONLINE
TXN00000520,ACCT000096,03/16/2023,DR,1151.89,BRANCH
TXN00003909,ACCT000151,06/07/2023,CR,185.47,ATM
TXN00010922,ACCT000137,20240923,DR,3812.07,BRANCH
TXN00005904,ACCT000259,18-May-2024,WIRE,2897.61,ATM
TXN00005215,ACCT000329,20230620,DR,524.32,BRANCH
TXN00002163,ACCT000787,05/07/2024,INT,2092.30,ATM
TXN00016633,ACCT000297,30-Apr-2024,FEE,399.44,BRANCH
TXN00010247,ACCT000115,31-May-2024,FEE,1737.13,ACH
TXN00014286,ACCT000921,20231205,ATM,1225.62,ATM
TXN00016390,ACCT000129,2024-08-29,ATM,3499.99,ATM
TXN00008916,ACCT000495,08-Jul-2025,INT,4079.30,ATM
TXN00010760,ACCT000428,2025-08-28,FEE,2477.02,ATM
TXN00003301,ACCT001066,2024-02-11,FEE,2045.55,BRANCH
TXN00006063,ACCT000483,25-Dec-2023,DR,1866.69,WIRE
TXN00001312,ACCT000152,06/20/2023,WIRE,983.89,ATM
TXN00023773,ACCT000025,2025-05-19,DR,2636.27,ATM
TXN00008333,ACCT000621,20250216,DR,2107.28,WIRE
TXN00005597,ACCT000164,29-Jan-2023,DR,2377.81,ACH
TXN00015447,ACCT000619,2025-04-04,FEE,434.64,ONLINE
TXN00007171,ACCT000139,2025-04-09,ATM,2456.39,BRANCH
TXN00016624,ACCT000852,25-Jun-2024,WIRE,4121.53,ONLINE
TXN00006212,ACCT000009,01/01/2023,FEE,1117.19,BRANCH
TXN00009792,ACCT000463,06/27/2023,ATM,4233.07,ONLINE
TXN00011803,ACCT000898,20231216,ATM,2724.88,WIRE
TXN00011106,ACCT001081,31-May-2024,CR,4135.16,ATM
TXN00002539,ACCT000851,03-Jul-2024,INT,1398.47,ONLINE
TXN00002975,ACCT000798,20251022,WIRE,2969.59,BRANCH
TXN00021460,ACCT000251,07/11/2025,CR,274.21,ONLINE
TXN00007840,ACCT000858,05/23/2023,WIRE,4337.13,ATM
TXN00001239,ACCT000983,04/10/2024,ACH,4201.36,ONLINE
TXN00009337,ACCT001010,05/05/2023,ATM,1688.33,WIRE
TXN00013450,ACCT001096,01/26/2023,DR,910.14,WIRE
TXN00021038,ACCT000008,20250512,INT,3030.69,WIRE
TXN00021741,ACCT000123,18-Mar-2025,FEE,230.42,BRANCH
TXN00012509,ACCT000142,06/05/2024,WIRE,4002.00,ATM
TXN00000939,ACCT000451,22-Dec-2024,ACH,2791.34,ATM
TXN00015922,ACCT000843,10/22/2025,CR,3186.38,WIRE
TXN00014686,ACCT001003,2023-04-17,ATM,4387.21,WIRE
TXN00014174,ACCT000353,20251112,ACH,2004.78,ACH
TXN00007707,ACCT000436,20240723,ACH,3856.93,ATM
TXN00009140,ACCT000535,20241230,WIRE,991.15,ATM
TXN00006754,ACCT000952,20240117,CR,795.86,ACH
TXN00010916,ACCT000173,01/03/2025,ATM,1001.57,ACH
TXN00022877,ACCT000808,26-May-2023,ACH,4313.67,WIRE
TXN00005745,ACCT000809,2025-10-09,ATM,4085.49,WIRE
TXN00011717,ACCT000913,20230121,CR,3040.89,ONLINE
TXN00019224,ACCT000762,01/30/2023,CR,2577.77,ATM
TXN00009948,ACCT000740,2024-07-28,CR,2515.68,BRANCH
TXN00007006,ACCT001080,2024-05-17,WIRE,579.77,BRANCH
TXN00017779,ACCT000432,04/20/2024,ATM,3580.89,ACH
TXN00012053,ACCT001126,15-Nov-2025,CR,833.15,ACH
TXN00019517,ACCT000149,20231025,ATM,4212.21,ACH
TXN00015545,ACCT000104,06/21/2025,CR,2414.83,WIRE
TXN00003914,ACCT000532,03/26/2025,ACH,1853.49,ATM
TXN00004078,ACCT000293,20250924,ATM,608.72,WIRE
TXN00017113,ACCT000007,11/28/2025,INT,798.64,ATM
TXN00001560,ACCT000271,2025-10-29,WIRE,1943.41,ACH
TXN00016271,ACCT001023,20230505,FEE,4275.17,ACH
TXN00022923,ACCT000279,2024-08-20,INT,994.32,BRANCH
TXN00001547,ACCT001007,2023-03-17,ACH,2111.19,BRANCH
TXN00013056,ACCT000832,20241204,FEE,319.90,ATM
TXN00010978,ACCT000229,01-Jul-2024,ATM,1691.38,ATM
TXN00022969,ACCT000194,15-Jan-2023,FEE,3793.38,ATM
TXN00002491,ACCT000723,2024-04-18,WIRE,3508.45,ATM
TXN00006325,ACCT000021,2023-05-12,DR,1799.84,WIRE
TXN00008721,ACCT000831,03/05/2023,DR,454.48,WIRE
TXN00024880,ACCT000867,09-Sep-2023,INT,780.11,BRANCH
TXN00011904,ACCT000172,16-Feb-2024,WIRE,550.85,ATM
TXN00002979,ACCT001189,2025-05-05,ATM,3444.98,ATM
TXN00018249,ACCT001059,2025-08-14,ACH,4154.86,WIRE
TXN00019320,ACCT000055,2025-05-27,DR,465.72,ONLINE
TXN00014477,ACCT000728,03/31/2023,INT,1140.02,ATM
TXN00006323,ACCT000698,10/14/2025,ACH,3904.49,ONLINE
TXN00002219,ACCT000434,05/06/2025,CR,2966.46,ATM
TXN00006997,ACCT000420,07/06/2023,FEE,3631.78,ACH
TXN00013566,ACCT001069,04/25/2025,FEE,4329.15,ACH
TXN00000352,ACCT000831,2025-02-02,ATM,3202.59,BRANCH
TXN00024405,ACCT000005,03-Jun-2023,ACH,4490.31,ATM
TXN00024440,ACCT000693,2023-04-27,ATM,3705.18,BRANCH
TXN00023436,ACCT000382,2024-10-24,WIRE,2209.23,BRANCH
TXN00011401,ACCT000144,15-Dec-2024,FEE,1721.37,ATM
TXN00016017,ACCT000640,2023-10-11,DR,4177.28,WIRE
TXN00005293,ACCT000014,03/13/2023,WIRE,1140.57,ACH
TXN00024883,ACCT000644,10/10/2023,CR,2015.98,ACH
TXN00024154,ACCT000679,09-Oct-2025,CR,3244.10,ONLINE
TXN00021108,ACCT000728,2025-10-17,FEE,2029.29,ATM
TXN00024584,ACCT000484,09/27/2024,CR,4234.94,BRANCH
TXN00001361,ACCT000607,20230227,ACH,821.79,ONLINE
TXN00020627,ACCT000634,30-Apr-2025,DR,1443.20,BRANCH
TXN00004518,ACCT000571,2024-09-30,ACH,76.33,ATM
TXN00016565,ACCT000097,2025-09-22,CR,3792.87,ONLINE
TXN00022379,ACCT001124,2024-06-11,FEE,1123.48,ATM
TXN00015230,ACCT000510,2025-03-23,ACH,1071.18,ACH
TXN00014269,ACCT001142,28-Aug-2023,INT,285.22,WIRE
TXN00017482,ACCT000636,07/01/2024,INT,1386.98,ACH
TXN00001415,ACCT000432,07/06/2024,CR,969.96,ATM
TXN00009774,ACCT000403,10/15/2024,FEE,278.00,ACH
TXN00024914,ACCT001166,14-May-2024,WIRE,367.42,WIRE
TXN00011183,ACCT000074,10/11/2024,ATM,3227.37,WIRE
TXN00009892,ACCT000177,2024-12-04,WIRE,3237.32,WIRE
TXN00016948,ACCT000573,20230826,CR,2543.87,WIRE
TXN00021644,ACCT000231,20231002,WIRE,765.66,ATM
TXN00022482,ACCT000902,20251008,ATM,3312.27,ONLINE
TXN00014599,ACCT000309,2024-05-05,FEE,3786.28,ACH
TXN00017309,ACCT000442,2024-09-28,ATM,3050.71,ACH
TXN00007929,ACCT000133,06/09/2023,ATM,2973.95,WIRE
TXN00008874,ACCT000736,04/14/2024,ACH,2359.84,BRANCH
TXN00022381,ACCT000003,03-Feb-2024,DR,3922.68,BRANCH
TXN00013820,ACCT001023,08/26/2024,FEE,1224.98,BRANCH
TXN00000617,ACCT000038,07/26/2024,FEE,566.09,WIRE
TXN00020149,ACCT001058,09/23/2024,DR,1288.35,ACH
TXN00012869,ACCT000236,05-Jul-2023,WIRE,2858.97,ONLINE
TXN00003878,ACCT001093,10/26/2023,CR,2596.54,ONLINE
TXN00016200,ACCT000542,04-Oct-2024,WIRE,2257.90,ATM
TXN00019449,ACCT000310,2023-08-16,INT,3894.37,BRANCH
TXN00018302,ACCT000832,05/26/2024,ACH,864.19,ACH
TXN00017524,ACCT000823,11-Jul-2024,WIRE,2352.28,ATM
TXN00015587,ACCT001103,2025-11-08,INT,1124.88,WIRE
TXN00022144,ACCT000745,2023-03-18,ACH,3259.35,ONLINE
TXN00014355,ACCT000019,02/28/2023,CR,2345.79,ATM
TXN00025062,ACCT001003,20250724,CR,9353.58,BRANCH
TXN00008949,ACCT000389,20230528,DR,4169.88,WIRE
TXN00006661,ACCT000272,2023-08-20,DR,73.36,ONLINE
TXN00008991,ACCT000743,2024-03-08,CR,2887.74,WIRE
TXN00005898,ACCT000129,20250830,FEE,1941.29,ACH
TXN00002324,ACCT000364,20240228,WIRE,2254.27,BRANCH
TXN00005836,ACCT000462,01/15/2023,DR,3134.01,ACH
TXN00003211,ACCT000108,11-Oct-2023,INT,4498.55,ACH
TXN00013184,ACCT000798,2023-01-11,ATM,2917.97,BRANCH
TXN00013488,ACCT000648,20240416,FEE,1668.74,BRANCH
TXN00004282,ACCT000647,20241201,FEE,3319.58,ONLINE
TXN00012930,ACCT000580,09/13/2023,FEE,2792.98,WIRE
TXN00010205,ACCT000969,02/14/2025,CR,717.89,ATM
TXN00003228,ACCT000847,2024-01-28,CR,2199.27,WIRE
TXN00004865,ACCT000544,20230916,ATM,3986.63,BRANCH
TXN00009619,ACCT000158,11/24/2023,ATM,289.87,ATM
TXN00013240,ACCT000020,20250527,DR,1063.32,ACH
TXN00017786,ACCT000998,18-Nov-2025,FEE,1066.45,WIRE
TXN00022883,ACCT000268,20230915,INT,787.46,BRANCH
TXN00013381,ACCT000456,05/05/2023,INT,1131.91,ACH
TXN00017901,ACCT000484,18-Oct-2023,DR,3727.84,ONLINE
TXN00001186,ACCT000875,12-Apr-2023,DR,2047.59,ACH
TXN00008963,ACCT000983,20240804,WIRE,947.92,ACH
TXN00005416,ACCT000439,20251221,ACH,2760.66,ATM
TXN00002003,ACCT000739,01/24/2025,INT,403.83,BRANCH
TXN00012480,ACCT000820,04-Apr-2023,DR,1585.78,BRANCH
TXN00022612,ACCT001198,20-Sep-2025,DR,4343.40,ONLINE
TXN00003343,ACCT001191,20250604,DR,939.89,ACH
TXN00014118,ACCT000278,07/03/2025,ACH,2063.69,ACH
TXN00015420,ACCT001158,11/28/2025,CR,3506.65,ACH
TXN00013404,ACCT000622,2024-06-04,INT,1021.43,ACH
TXN00020384,ACCT001181,20250327,INT,239.57,ACH
TXN00019841,ACCT001139,01/07/2025,CR,2012.95,WIRE
TXN00007295,ACCT000711,12/11/2025,FEE,4421.40,BRANCH
TXN00007291,ACCT000536,04/21/2023,DR,2914.64,ACH
TXN00021213,ACCT000432,15-Sep-2023,FEE,2100.60,ATM
TXN00017525,ACCT001184,20230801,INT,4479.45,ONLINE
TXN00023487,ACCT000839,20240819,FEE,768.02,WIRE
TXN00008085,ACCT000512,03/18/2024,WIRE,2436.50,ONLINE
TXN00012397,ACCT000893,27-Apr-2025,INT,711.82,ACH
TXN00000305,ACCT001149,2025-06-06,ACH,3414.42,WIRE
TXN00014563,ACCT000748,20251111,FEE,1294.49,BRANCH
TXN00024468,ACCT000636,08-Apr-2025,DR,1135.18,ACH
TXN00003769,ACCT000307,10/07/2023,CR,3829.19,ACH
TXN00021958,ACCT000205,2024-12-18,DR,1433.70,ATM
TXN00011253,ACCT000774,10/23/2023,WIRE,3447.90,ONLINE
TXN00004076,ACCT000983,2023-01-21,ATM,3304.94,BRANCH
TXN00015464,ACCT000096,20240626,ACH,2153.26,BRANCH
TXN00019916,ACCT000867,28-Jun-2023,CR,4187.38,ACH
TXN00022914,ACCT000162,06/01/2025,FEE,1270.73,WIRE
TXN00006275,ACCT001126,2023-11-14,WIRE,2341.35,ACH
TXN00021420,ACCT000224,20250718,WIRE,1342.22,WIRE
TXN00001530,ACCT000354,08/19/2023,INT,957.41,WIRE
TXN00020026,ACCT000133,2025-02-11,FEE,872.59,ATM
TXN00020137,ACCT000779,2023-07-22,FEE,2477.58,WIRE
TXN00024178,ACCT000222,08/07/2024,CR,1942.72,BRANCH
TXN00019423,ACCT000709,14-May-2023,ACH,2871.21,ACH
TXN00006482,ACCT000276,20240918,INT,3323.03,ACH
TXN00016834,ACCT000053,20231118,INT,1755.09,ONLINE
TXN00005204,ACCT000633,2024-08-20,INT,3975.59,ONLINE
TXN00020692,ACCT000742,20251027,INT,1708.05,ACH
TXN00007671,ACCT001157,03/24/2025,ATM,2854.14,WIRE
TXN00005831,ACCT000093,2023-03-07,CR,2982.96,ONLINE
TXN00015013,ACCT000200,2024-03-07,ACH,1502.85,ONLINE
TXN00005736,ACCT000979,20230901,INT,1828.69,ONLINE
TXN00004641,ACCT000587,03/26/2025,INT,306.43,BRANCH
TXN00018005,ACCT000487,23-May-2025,WIRE,3129.68,BRANCH
TXN00018926,ACCT000282,10-Jun-2023,INT,3497.36,ACH
TXN00021339,ACCT000188,13-Nov-2025,DR,2023.93,BRANCH
TXN00007330,ACCT001010,09/18/2024,CR,3315.84,BRANCH
TXN00005338,ACCT000178,20241019,ATM,3956.46,ATM
TXN00017032,ACCT000277,01-Apr-2024,WIRE,3879.62,ONLINE
TXN00023492,ACCT000937,31-Jul-2023,CR,3250.53,BRANCH
TXN00024669,ACCT001045,06/01/2025,INT,2640.08,ACH
TXN00009110,ACCT000692,2025-02-03,INT,1660.29,ONLINE
TXN00024069,ACCT000513,2023-08-02,CR,2644.37,BRANCH
TXN00012286,ACCT000133,04/02/2024,ATM,3192.59,BRANCH
TXN00007600,ACCT001116,2025-06-03,INT,3194.15,ACH
TXN00017166,ACCT000344,20250319,DR,2691.73,ATM
TXN00021942,ACCT000063,2023-01-21,ACH,92.78,BRANCH
TXN00013234,ACCT000645,2023-05-31,INT,2118.49,ATM
TXN00016780,ACCT001193,01/28/2025,DR,1486.87,BRANCH
TXN00001503,ACCT000721,2023-04-12,INT,2667.06,ATM
TXN00019836,ACCT000251,20240314,ACH,4051.96,ACH
TXN00009812,ACCT000150,20250517,INT,3687.41,BRANCH
TXN00003666,ACCT001056,20250110,CR,3058.38,WIRE
TXN00001523,ACCT000195,20230319,INT,551.33,ACH
TXN00020452,ACCT000787,09-Nov-2025,DR,3232.93,WIRE
TXN00004617,ACCT000873,20250306,ATM,1021.87,ATM
TXN00017592,ACCT000223,20250108,INT,3019.02,ONLINE
TXN00023975,ACCT001003,01/28/2025,ACH,3080.61,ATM
TXN00017955,ACCT000921,2023-07-02,CR,1166.91,ONLINE
TXN00002985,ACCT000422,20231125,ACH,3415.56,ACH
TXN00008505,ACCT000178,20-May-2023,INT,1034.53,ACH
TXN00020121,ACCT000044,20-Jun-2024,CR,1659.59,WIRE
TXN00011537,ACCT000983,20230529,ACH,1613.05,BRANCH
TXN00018186,ACCT000343,20231210,CR,2434.07,ATM
TXN00020934,ACCT000334,2025-01-15,FEE,973.78,ONLINE
TXN00007609,ACCT000410,20240923,ATM,188.89,BRANCH
TXN00024443,ACCT000426,19-Oct-2023,INT,921.02,ATM
TXN00003067,ACCT000808,10-Jul-2023,DR,770.14,BRANCH
TXN00022958,ACCT000885,20250817,INT,3940.81,ONLINE
TXN00001719,ACCT000534,20230112,ACH,2261.48,ACH
TXN00007848,ACCT001092,05/26/2023,CR,2211.49,WIRE
TXN00005160,ACCT000954,04/12/2025,INT,1120.80,ACH
TXN00009045,ACCT000849,25-Aug-2023,ACH,1379.53,BRANCH
TXN00000727,ACCT000775,13-Dec-2024,FEE,3503.82,BRANCH
TXN00010286,ACCT000908,20230725,WIRE,124.95,ACH
TXN00014834,ACCT000398,11/03/2023,WIRE,1612.05,BRANCH
TXN00004331,ACCT000393,2024-08-13,WIRE,4170.75,ACH
TXN00003825,ACCT001191,25-Apr-2025,ATM,125.30,WIRE
TXN00017704,ACCT000446,07/31/2023,ATM,2083.94,ONLINE
TXN00000507,ACCT001148,20230607,ACH,3847.39,ATM
TXN00003510,ACCT000437,09-Aug-2024,DR,3836.64,BRANCH
TXN00015893,ACCT000067,20240808,FEE,1934.16,WIRE
TXN00013616,ACCT000951,2023-10-13,FEE,1062.69,BRANCH
TXN00000015,ACCT000677,08/12/2023,DR,2112.96,ATM
TXN00002665,ACCT000172,06/30/2024,ACH,4224.72,BRANCH
TXN00021666,ACCT000681,2025-01-28,CR,3371.70,ACH
TXN00018220,ACCT000759,08-Sep-2023,DR,660.95,BRANCH
TXN00014384,ACCT000344,16-Sep-2023,DR,4134.77,ATM
TXN00014622,ACCT000638,20231211,INT,3987.95,ATM
TXN00011759,ACCT000200,13-Jun-2023,DR,4112.32,ONLINE
TXN00009981,ACCT000434,2023-12-29,INT,1813.30,ATM
TXN00022553,ACCT000257,20231227,CR,4097.55,WIRE
TXN00005764,ACCT000809,01/29/2025,FEE,3347.20,BRANCH
TXN00013880,ACCT000481,09/30/2025,CR,1546.29,ACH
TXN00004440,ACCT000641,20250719,CR,1991.19,WIRE
TXN00007200,ACCT001118,01/26/2025,FEE,828.94,ACH
TXN00013433,ACCT000107,2025-04-22,ATM,2624.81,WIRE
TXN00017878,ACCT000954,2023-04-26,DR,1274.02,WIRE
TXN00024073,ACCT000817,2024-09-15,INT,2376.72,WIRE
TXN00021386,ACCT000616,10/20/2025,CR,4481.42,WIRE
TXN00010761,ACCT000416,08/10/2024,FEE,3119.86,ONLINE
TXN00005465,ACCT000079,05-Mar-2023,INT,2509.22,ATM
TXN00007674,ACCT001057,2025-02-22,DR,1799.00,ACH
TXN00024284,ACCT000700,09/23/2023,DR,1291.13,BRANCH
TXN00017223,ACCT001168,02/01/2025,FEE,726.98,ACH
TXN00021986,ACCT001055,10/25/2023,FEE,1414.62,ONLINE
TXN00014209,ACCT000949,10/18/2025,ACH,4408.94,ACH
TXN00015668,ACCT000619,02/17/2023,ACH,459.44,WIRE
TXN00008002,ACCT000510,20250613,DR,3070.52,ATM
TXN00003908,ACCT000395,18-Sep-2025,INT,33.04,ACH
TXN00008562,ACCT000635,03-Sep-2025,INT,502.52,ATM
TXN00005230,ACCT000067,05/17/2025,ACH,1866.89,ATM
TXN00009735,ACCT001018,2024-01-26,INT,3282.17,ACH
TXN00021205,ACCT000829,08/05/2025,CR,1054.36,ONLINE
TXN00005154,ACCT000091,12/21/2024,INT,44.98,BRANCH
TXN00017972,ACCT000794,04/14/2024,ACH,1651.93,WIRE
TXN00012495,ACCT000366,07-Feb-2023,ATM,3483.86,ACH
TXN00024836,ACCT001032,01/28/2023,FEE,2739.49,ONLINE
TXN00009198,ACCT000448,04-Dec-2023,DR,2174.85,WIRE
TXN00003007,ACCT000742,20250727,INT,2234.41,ONLINE
TXN00004537,ACCT001049,11/20/2023,ATM,3479.00,ACH
TXN00009132,ACCT000142,11/26/2025,ACH,2941.24,BRANCH
TXN00014147,ACCT000030,2024-01-09,WIRE,693.54,ATM
TXN00016691,ACCT000375,20240726,FEE,1282.76,ATM
TXN00023498,ACCT000775,2024-04-11,CR,2439.92,ACH
TXN00007155,ACCT001019,20250817,INT,784.99,ACH
TXN00010102,ACCT001066,2023-04-10,ATM,2496.21,ATM
TXN00009391,ACCT000814,20241008,ATM,2691.29,ACH
TXN00002598,ACCT000129,11/05/2023,WIRE,328.37,ONLINE
